NaN,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019942,0.039979,0.060087,0.080263,0.10051,0.12082,0.14119,0.16163,0.18213,0.20268,0.2233,0.24397,0.26469,0.28547,0.3063,0.32718,0.3481,0.36908,0.3901,0.41116,0.43227,0.45342,0.47462,0.49585,0.51712,0.53843,0.55978,0.58117,0.60259,0.62404,0.64553,0.66705,0.68861,0.71019,0.73181,0.75346,0.77513,0.79684,0.81857,0.84033,0.86212,0.88393,0.90577,0.92763,0.94952,0.97143,0.99336,1.0153,1.0373,1.0593,1.0813,1.1034,1.1254,1.1475,1.1696,1.1918,1.2139,1.2361,1.2582,1.2804,1.3027,1.3249,1.3471,1.3694,1.3917,1.414,1.4363,1.4586,1.481,1.5033,1.5257,1.5481,1.5705
0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02071,0.041522,0.06241,0.083373,0.10441,0.12551,0.14669,0.16793,0.18924,0.21061,0.23204,0.25353,0.27507,0.29668,0.31834,0.34005,0.36181,0.38362,0.40549,0.42739,0.44935,0.47135,0.4934,0.51548,0.53761,0.55978,0.58199,0.60424,0.62652,0.64884,0.67119,0.69358,0.71601,0.73847,0.76095,0.78347,0.80603,0.82861,0.85122,0.87386,0.89652,0.91921,0.94193,0.96468,0.98745,1.0102,1.0331,1.0559,1.0788,1.1017,1.1246,1.1475,1.1705,1.1935,1.2164,1.2395,1.2625,1.2856,1.3086,1.3317,1.3548,1.378,1.4011,1.4243,1.4475,1.4706,1.4939,1.5171,1.5403,1.5636,1.5869,1.6101,1.6334
0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02154,0.04319,0.064921,0.086732,0.10862,0.13059,0.15263,0.17474,0.19692,0.21917,0.24148,0.26386,0.2863,0.3088,0.33136,0.35397,0.37664,0.39936,0.42213,0.44495,0.46783,0.49075,0.51371,0.53672,0.55978,0.58288,0.60601,0.62919,0.65241,0.67567,0.69896,0.72229,0.74566,0.76906,0.79249,0.81596,0.83945,0.86298,0.88654,0.91013,0.93375,0.9574,0.98107,1.0048,1.0285,1.0523,1.076,1.0998,1.1237,1.1475,1.1714,1.1953,1.2192,1.2431,1.2671,1.2911,1.3151,1.3391,1.3632,1.3872,1.4113,1.4354,1.4595,1.4836,1.5078,1.532,1.5561,1.5803,1.6046,1.6288,1.653,1.6773,1.7016
0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022439,0.044996,0.067642,0.090374,0.11319,0.13609,0.15907,0.18212,0.20525,0.22846,0.25173,0.27507,0.29848,0.32195,0.34548,0.36907,0.39272,0.41643,0.44019,0.46401,0.48788,0.5118,0.53576,0.55978,0.58384,0.60794,0.63209,0.65628,0.68052,0.70479,0.7291,0.75345,0.77784,0.80226,0.82672,0.85121,0.87574,0.9003,0.92489,0.94951,0.97416,0.99884,1.0236,1.0483,1.0731,1.0978,1.1227,1.1475,1.1724,1.1973,1.2222,1.2471,1.2721,1.2971,1.3221,1.3471,1.3722,1.3972,1.4223,1.4474,1.4726,1.4977,1.5229,1.5481,1.5733,1.5985,1.6237,1.649,1.6743,1.6995,1.7248,1.7502,1.7755
0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023416,0.046961,0.070601,0.094335,0.11816,0.14208,0.16608,0.19016,0.21432,0.23857,0.26288,0.28727,0.31173,0.33626,0.36086,0.38552,0.41024,0.43502,0.45986,0.48476,0.50971,0.53472,0.55977,0.58488,0.61004,0.63524,0.66049,0.68579,0.71112,0.7365,0.76193,0.78739,0.81289,0.83843,0.864,0.88961,0.91526,0.94094,0.96665,0.9924,1.0182,1.044,1.0698,1.0957,1.1216,1.1475,1.1735,1.1994,1.2254,1.2515,1.2775,1.3036,1.3297,1.3558,1.382,1.4081,1.4343,1.4605,1.4868,1.513,1.5393,1.5656,1.5919,1.6182,1.6446,1.671,1.6973,1.7237,1.7501,1.7766,1.803,1.8295,1.856
0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024483,0.049105,0.073831,0.098659,0.12359,0.14861,0.17373,0.19894,0.22423,0.24961,0.27507,0.30061,0.32622,0.35191,0.37766,0.40349,0.42938,0.45534,0.48136,0.50744,0.53358,0.55977,0.58602,0.61232,0.63868,0.66508,0.69154,0.71804,0.74459,0.77118,0.79781,0.82449,0.85121,0.87796,0.90476,0.93159,0.95846,0.98537,1.0123,1.0393,1.0663,1.0933,1.1204,1.1475,1.1746,1.2018,1.229,1.2562,1.2834,1.3107,1.338,1.3653,1.3927,1.42,1.4474,1.4749,1.5023,1.5297,1.5572,1.5847,1.6122,1.6398,1.6674,1.6949,1.7225,1.7501,1.7778,1.8054,1.8331,1.8608,1.8885,1.9162,1.9439
0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025654,0.051454,0.07737,0.1034,0.12953,0.15578,0.18212,0.20856,0.23509,0.26172,0.28843,0.31523,0.34211,0.36907,0.3961,0.42321,0.45038,0.47764,0.50495,0.53233,0.55977,0.58727,0.61483,0.64245,0.67012,0.69784,0.72562,0.75344,0.78132,0.80924,0.8372,0.86521,0.89327,0.92136,0.9495,0.97767,1.0059,1.0341,1.0624,1.0907,1.1191,1.1475,1.1759,1.2044,1.2329,1.2614,1.2899,1.3185,1.3471,1.3757,1.4044,1.4331,1.4618,1.4905,1.5193,1.5481,1.5769,1.6057,1.6345,1.6634,1.6923,1.7212,1.7501,1.7791,1.8081,1.837,1.8661,1.8951,1.9241,1.9532,1.9823,2.0114,2.0405
0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026939,0.054039,0.081265,0.10861,0.13608,0.16367,0.19136,0.21916,0.24706,0.27506,0.30316,0.33135,0.35962,0.38798,0.41642,0.44494,0.47354,0.50221,0.53096,0.55977,0.58864,0.61759,0.64659,0.67565,0.70478,0.73396,0.76319,0.79247,0.82181,0.8512,0.88063,0.91012,0.93964,0.96921,0.99883,1.0285,1.0582,1.0879,1.1177,1.1475,1.1773,1.2072,1.2371,1.2671,1.2971,1.3271,1.3571,1.3872,1.4173,1.4474,1.4776,1.5078,1.538,1.5682,1.5985,1.6288,1.6591,1.6894,1.7198,1.7501,1.7805,1.811,1.8414,1.8719,1.9023,1.9328,1.9634,1.9939,2.0244,2.055,2.0856,2.1162,2.1468
0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028361,0.056897,0.085574,0.11439,0.14333,0.1724,0.20159,0.23089,0.26031,0.28984,0.31946,0.34919,0.37901,0.40893,0.43893,0.46902,0.49919,0.52944,0.55976,0.59016,0.62063,0.65117,0.68178,0.71245,0.74318,0.77397,0.80482,0.83572,0.86668,0.89769,0.92875,0.95987,0.99103,1.0222,1.0535,1.0848,1.1161,1.1475,1.1789,1.2104,1.2419,1.2734,1.305,1.3366,1.3682,1.3999,1.4316,1.4633,1.495,1.5268,1.5587,1.5905,1.6224,1.6543,1.6862,1.7182,1.7501,1.7821,1.8141,1.8462,1.8783,1.9104,1.9425,1.9746,2.0067,2.0389,2.0711,2.1033,2.1355,2.1678,2.2001,2.2323,2.2646
