NaN,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038545,0.077377,0.11646,0.15578,0.19534,0.2351,0.27508,0.31524,0.35559,0.39611,0.4368,0.47764,0.51864,0.55978,0.60106,0.64246,0.68399,0.72563,0.76739,0.80925,0.85122,0.89328,0.93544,0.97769,1.02,1.0624,1.1049,1.1475,1.1902,1.2329,1.2757,1.3185,1.3614,1.4044,1.4475,1.4905,1.5337,1.5769,1.6201,1.6634,1.7068,1.7502,1.7936,1.8371,1.8806,1.9242,1.9678,2.0114,2.0551,2.0988,2.1425,2.1863,2.2301,2.2739,2.3178,2.3617,2.4056,2.4496,2.4935,2.5375,2.5816,2.6256,2.6697,2.7138,2.758,2.8021,2.8463,2.8905,2.9347,2.9789,3.0232,3.0675,3.1118,3.1561,3.2004,3.2448,3.2891,3.3335,3.3779,3.4223,3.4667,3.5112,3.5556,3.6001,3.6446,3.6891
0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041521,0.083372,0.12551,0.16793,0.2106,0.25352,0.29668,0.34005,0.38362,0.42739,0.47134,0.51548,0.55978,0.60423,0.64884,0.69358,0.73846,0.78347,0.8286,0.87385,0.91921,0.96468,1.0102,1.0559,1.1017,1.1475,1.1934,1.2395,1.2856,1.3317,1.378,1.4243,1.4706,1.5171,1.5636,1.6101,1.6568,1.7034,1.7502,1.7969,1.8438,1.8906,1.9376,1.9845,2.0315,2.0786,2.1257,2.1728,2.22,2.2672,2.3144,2.3617,2.409,2.4563,2.5037,2.5511,2.5985,2.646,2.6934,2.741,2.7885,2.8361,2.8837,2.9313,2.9789,3.0266,3.0743,3.122,3.1697,3.2174,3.2652,3.313,3.3608,3.4086,3.4565,3.5043,3.5522,3.6001,3.648,3.6959,3.7439,3.7918,3.8398,3.8878,3.9358,3.9838
0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.044995,0.090373,0.13609,0.18212,0.22846,0.27507,0.32195,0.36907,0.41643,0.464,0.51179,0.55977,0.60794,0.65628,0.70479,0.75345,0.80226,0.85121,0.90029,0.94951,0.99884,1.0483,1.0978,1.1475,1.1973,1.2471,1.2971,1.3471,1.3972,1.4474,1.4977,1.5481,1.5985,1.649,1.6995,1.7502,1.8008,1.8516,1.9024,1.9532,2.0041,2.055,2.106,2.1571,2.2082,2.2593,2.3105,2.3617,2.4129,2.4642,2.5155,2.5669,2.6183,2.6697,2.7211,2.7726,2.8242,2.8757,2.9273,2.9789,3.0305,3.0822,3.1339,3.1856,3.2373,3.2891,3.3409,3.3927,3.4445,3.4963,3.5482,3.6001,3.652,3.7039,3.7559,3.8078,3.8598,3.9118,3.9638,4.0158,4.0679,4.1199,4.172,4.2241,4.2762,4.3283
0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049104,0.098658,0.14861,0.19893,0.24961,0.3006,0.3519,0.40349,0.45533,0.50744,0.55977,0.61232,0.66508,0.71804,0.77117,0.82449,0.87796,0.93159,0.98537,1.0393,1.0933,1.1475,1.2018,1.2562,1.3107,1.3653,1.42,1.4748,1.5297,1.5847,1.6398,1.6949,1.7501,1.8054,1.8608,1.9162,1.9717,2.0272,2.0828,2.1385,2.1942,2.25,2.3058,2.3616,2.4176,2.4735,2.5295,2.5855,2.6416,2.6977,2.7539,2.8101,2.8663,2.9226,2.9789,3.0352,3.0916,3.148,3.2044,3.2608,3.3173,3.3738,3.4303,3.4869,3.5435,3.6001,3.6567,3.7133,3.77,3.8267,3.8834,3.9401,3.9969,4.0536,4.1104,4.1672,4.2241,4.2809,4.3378,4.3946,4.4515,4.5084,4.5653,4.6223,4.6792,4.7362
0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.054038,0.10861,0.16367,0.21916,0.27506,0.33134,0.38798,0.44494,0.50221,0.55976,0.61758,0.67565,0.73395,0.79247,0.8512,0.91011,0.96921,1.0285,1.0879,1.1475,1.2072,1.2671,1.3271,1.3872,1.4474,1.5078,1.5682,1.6288,1.6894,1.7501,1.8109,1.8718,1.9328,1.9939,2.055,2.1162,2.1775,2.2388,2.3002,2.3616,2.4231,2.4847,2.5463,2.608,2.6697,2.7314,2.7932,2.8551,2.917,2.9789,3.0408,3.1028,3.1649,3.2269,3.2891,3.3512,3.4134,3.4756,3.5378,3.6,3.6623,3.7246,3.787,3.8494,3.9117,3.9742,4.0366,4.0991,4.1615,4.224,4.2866,4.3491,4.4117,4.4743,4.5369,4.5995,4.6621,4.7248,4.7874,4.8501,4.9128,4.9755,5.0383,5.101,5.1638,5.2266
0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.060073,0.1208,0.18211,0.24395,0.30628,0.36906,0.43225,0.49582,0.55976,0.62402,0.68858,0.75343,0.81854,0.8839,0.94948,1.0153,1.0813,1.1475,1.2138,1.2804,1.3471,1.4139,1.4809,1.548,1.6153,1.6826,1.7501,1.8177,1.8854,1.9532,2.021,2.089,2.157,2.2251,2.2933,2.3616,2.43,2.4984,2.5668,2.6354,2.7039,2.7726,2.8413,2.9101,2.9789,3.0477,3.1166,3.1855,3.2545,3.3235,3.3926,3.4617,3.5308,3.6,3.6692,3.7385,3.8077,3.877,3.9464,4.0157,4.0851,4.1546,4.224,4.2935,4.363,4.4325,4.502,4.5716,4.6412,4.7108,4.7804,4.8501,4.9198,4.9894,5.0592,5.1289,5.1986,5.2684,5.3382,5.408,5.4778,5.5476,5.6174,5.6873,5.7571,5.827
0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.067627,0.13607,0.20524,0.27505,0.34546,0.41641,0.48784,0.55975,0.63206,0.70476,0.7778,0.85118,0.92485,0.9988,1.073,1.1475,1.2221,1.297,1.3721,1.4474,1.5228,1.5984,1.6742,1.7501,1.8261,1.9023,1.9786,2.055,2.1315,2.2081,2.2848,2.3616,2.4385,2.5154,2.5925,2.6696,2.7468,2.8241,2.9014,2.9788,3.0563,3.1338,3.2114,3.289,3.3667,3.4444,3.5222,3.6,3.6778,3.7558,3.8337,3.9117,3.9897,4.0678,4.1458,4.224,4.3021,4.3803,4.4585,4.5368,4.6151,4.6934,4.7717,4.85,4.9284,5.0068,5.0853,5.1637,5.2422,5.3207,5.3992,5.4777,5.5563,5.6348,5.7134,5.792,5.8707,5.9493,6.0279,6.1066,6.1853,6.264,6.3428,6.4215,6.5003,6.5791
0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.077352,0.15575,0.23507,0.31521,0.39607,0.4776,0.55974,0.64241,0.72558,0.8092,0.89322,0.97763,1.0624,1.1474,1.2328,1.3185,1.4043,1.4905,1.5768,1.6633,1.7501,1.837,1.9241,2.0113,2.0987,2.1862,2.2738,2.3616,2.4494,2.5374,2.6255,2.7137,2.8019,2.8903,2.9788,3.0673,3.1559,3.2446,3.3333,3.4221,3.511,3.5999,3.6889,3.778,3.8671,3.9562,4.0454,4.1346,4.2239,4.3132,4.4026,4.492,4.5815,4.6709,4.7604,4.85,4.9396,5.0292,5.1188,5.2085,5.2982,5.3879,5.4777,5.5674,5.6572,5.747,5.8369,5.9268,6.0166,6.1065,6.1965,6.2864,6.3765,6.4665,6.5565,6.6465,6.7365,6.8266,6.9167,7.0068,7.0969,7.187,7.2772,7.3673,7.4575,7.5477
0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.090344,0.18209,0.27503,0.36903,0.46396,0.55972,0.65622,0.75339,0.85114,0.94943,1.0482,1.1474,1.247,1.347,1.4473,1.548,1.6489,1.75,1.8514,1.9531,2.0549,2.1569,2.2591,2.3615,2.464,2.5667,2.6695,2.7725,2.8755,2.9787,3.082,3.1854,3.2889,3.3925,3.4961,3.5999,3.7037,3.8076,3.9116,4.0156,4.1197,4.2239,4.3281,4.4323,4.5367,4.641,4.7455,4.8499,4.9544,5.059,5.1636,5.2682,5.3729,5.4776,5.5823,5.6871,5.7919,5.8967,6.0016,6.1065,6.2114,6.3163,6.4213,6.5264,6.6314,6.7364,6.8415,6.9466,7.0517,7.1569,7.262,7.3672,7.4724,7.5776,7.6828,7.7881,7.8933,7.9986,8.1039,8.2092,8.3145,8.4199,8.5252,8.6306,8.736,8.8414
