NaN,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.1116e-05,0.054047,0.10862,0.16368,0.21917,0.27508,0.33136,0.38799,0.44495,0.50223,0.55978,0.6176,0.67567,0.73397,0.79249,0.85122,0.91014,0.96924,1.0285,1.0879,1.1475,1.2072,1.2671,1.3271,1.3872,1.4475,1.5078,1.5682,1.6288,1.6894,1.7502,1.811,1.8719,1.9329,1.9939,2.0551,2.1163,2.1775,2.2388,2.3002,2.3617,2.4232,2.4847,2.5463,2.608,2.6697,2.7315,2.7933,2.8551,2.917,2.9789,3.0409,3.1029,3.1649,3.227,3.2891,3.3513,3.4134,3.4756,3.5379,3.6001,3.6624,3.7247,3.7871,3.8494,3.9118,3.9742,4.0367,4.0991,4.1616,4.2241,4.2866,4.3492,4.4118,4.4743,4.5369,4.5996,4.6622,4.7249,4.7875,4.8502,4.9129,4.9756,5.0384,5.1011,5.1639,5.2267,5.2895,5.3523,5.4151,5.4779
0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.346e-05,0.060084,0.12081,0.18212,0.24397,0.30629,0.36907,0.43227,0.49584,0.55978,0.62404,0.6886,0.75345,0.81856,0.88392,0.94951,1.0153,1.0813,1.1475,1.2139,1.2804,1.3471,1.414,1.481,1.5481,1.6153,1.6827,1.7502,1.8177,1.8854,1.9532,2.0211,2.089,2.1571,2.2252,2.2934,2.3617,2.43,2.4984,2.5669,2.6354,2.704,2.7726,2.8413,2.9101,2.9789,3.0478,3.1167,3.1856,3.2546,3.3236,3.3927,3.4618,3.5309,3.6001,3.6693,3.7385,3.8078,3.8771,3.9465,4.0158,4.0852,4.1546,4.2241,4.2936,4.3631,4.4326,4.5021,4.5717,4.6413,4.7109,4.7805,4.8502,4.9199,4.9895,5.0593,5.129,5.1987,5.2685,5.3383,5.4081,5.4779,5.5477,5.6175,5.6874,5.7573,5.8271,5.897,5.9669,6.0369,6.1068
0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.639e-05,0.067639,0.13608,0.20525,0.27507,0.34548,0.41643,0.48786,0.55977,0.63209,0.70478,0.77783,0.8512,0.92488,0.99883,1.073,1.1475,1.2222,1.2971,1.3722,1.4474,1.5229,1.5985,1.6742,1.7501,1.8262,1.9023,1.9786,2.055,2.1315,2.2081,2.2849,2.3617,2.4385,2.5155,2.5926,2.6697,2.7469,2.8241,2.9015,2.9789,3.0564,3.1339,3.2114,3.2891,3.3668,3.4445,3.5223,3.6001,3.6779,3.7558,3.8338,3.9118,3.9898,4.0678,4.1459,4.2241,4.3022,4.3804,4.4586,4.5369,4.6152,4.6935,4.7718,4.8502,4.9285,5.0069,5.0854,5.1638,5.2423,5.3208,5.3993,5.4778,5.5564,5.635,5.7136,5.7922,5.8708,5.9494,6.0281,6.1067,6.1854,6.2641,6.3429,6.4217,6.5004,6.5792,6.658,6.7368,6.8156,6.8944
0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.0158e-05,0.077366,0.15577,0.23509,0.31523,0.3961,0.47762,0.55976,0.64244,0.72561,0.80923,0.89326,0.97767,1.0624,1.1475,1.2328,1.3185,1.4044,1.4905,1.5768,1.6634,1.7501,1.837,1.9241,2.0113,2.0987,2.1862,2.2739,2.3616,2.4495,2.5375,2.6256,2.7138,2.802,2.8904,2.9789,3.0674,3.156,3.2447,3.3334,3.4222,3.5111,3.6,3.689,3.7781,3.8672,3.9563,4.0455,4.1347,4.224,4.3134,4.4027,4.4921,4.5816,4.6711,4.7606,4.8501,4.9397,5.0293,5.1189,5.2086,5.2983,5.388,5.4778,5.5676,5.6574,5.7472,5.837,5.9269,6.0168,6.1067,6.1966,6.2866,6.3766,6.4666,6.5566,6.6467,6.7367,6.8268,6.9169,7.007,7.0971,7.1872,7.2773,7.3675,7.4577,7.5478,7.638,7.7282,7.8185,7.9087
0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.5181e-05,0.090361,0.18211,0.27505,0.36905,0.46398,0.55975,0.65626,0.75342,0.85118,0.94948,1.0483,1.1475,1.2471,1.3471,1.4474,1.548,1.6489,1.7501,1.8515,1.9531,2.055,2.157,2.2592,2.3616,2.4641,2.5668,2.6696,2.7726,2.8756,2.9788,3.0821,3.1855,3.289,3.3926,3.4963,3.6,3.7038,3.8077,3.9117,4.0157,4.1198,4.224,4.3282,4.4325,4.5368,4.6412,4.7456,4.8501,4.9546,5.0591,5.1637,5.2684,5.373,5.4777,5.5825,5.6872,5.7921,5.8969,6.0017,6.1066,6.2115,6.3165,6.4214,6.5266,6.6316,6.7366,6.8417,6.9468,7.0519,7.1571,7.2622,7.3674,7.4726,7.5778,7.6831,7.7883,7.8936,7.9989,8.1041,8.2095,8.3148,8.4201,8.5255,8.6309,8.7362,8.8416,8.947,9.0525,9.1579,9.2633
0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.2213e-05,0.1086,0.21914,0.33132,0.44491,0.55974,0.67562,0.79244,0.91008,1.0284,1.1474,1.267,1.3871,1.5077,1.6287,1.7501,1.8718,1.9938,2.1161,2.2387,2.3616,2.4846,2.6079,2.7313,2.8549,2.9787,3.1027,3.2269,3.3511,3.4755,3.5999,3.7245,3.8492,3.974,4.0989,4.2239,4.349,4.4741,4.5993,4.7246,4.85,4.9754,5.1009,5.2264,5.352,5.4777,5.6033,5.7291,5.8549,5.9807,6.1065,6.2324,6.3584,6.4843,6.6105,6.7365,6.8626,6.9888,7.1149,7.2411,7.3673,7.4935,7.6198,7.7461,7.8724,7.9987,8.1251,8.2515,8.3779,8.5043,8.6307,8.7572,8.8837,9.0102,9.1367,9.2632,9.3897,9.5163,9.6429,9.7695,9.8961,10.023,10.149,10.276,10.403,10.529,10.656,10.783,10.909,11.036,11.163
0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.2761e-05,0.13605,0.27503,0.41638,0.55969,0.70472,0.85113,0.99875,1.1474,1.297,1.4473,1.5984,1.75,1.9022,2.0549,2.208,2.3615,2.5153,2.6695,2.824,2.9787,3.1337,3.2889,3.4443,3.5999,3.7556,3.9115,4.0676,4.2238,4.3802,4.5366,4.6932,4.8499,5.0067,5.1635,5.3205,5.4775,5.6346,5.7918,5.9491,6.1064,6.2638,6.4212,6.5787,6.7364,6.894,7.0517,7.2094,7.3671,7.5249,7.6828,7.8407,7.9986,8.1565,8.3145,8.4725,8.6305,8.7886,8.9467,9.1048,9.263,9.4212,9.5794,9.7376,9.8958,10.054,10.212,10.371,10.529,10.687,10.846,11.004,11.163,11.321,11.479,11.638,11.796,11.955,12.113,12.272,12.43,12.589,12.747,12.906,13.064,13.223,13.381,13.54,13.699,13.857,14.016
0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.0342e-05,0.18205,0.36899,0.55965,0.75333,0.94937,1.1474,1.3469,1.5479,1.7499,1.953,2.1568,2.3614,2.5666,2.7723,2.9785,3.1851,3.3923,3.5997,3.8074,4.0154,4.2237,4.4321,4.6408,4.8497,5.0587,5.268,5.4773,5.6868,5.8964,6.1062,6.316,6.5259,6.736,6.9463,7.1566,7.3669,7.5773,7.7877,7.9983,8.2089,8.4195,8.6302,8.841,9.0518,9.2627,9.4736,9.6845,9.8955,10.107,10.318,10.529,10.74,10.951,11.162,11.373,11.585,11.796,12.007,12.218,12.43,12.641,12.852,13.064,13.275,13.487,13.698,13.91,14.121,14.332,14.544,14.756,14.968,15.179,15.391,15.602,15.814,16.026,16.237,16.449,16.661,16.872,17.084,17.296,17.507,17.719,17.931,18.143,18.354,18.566,18.778
0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0001055,0.27494,0.55957,0.85099,1.1472,1.447,1.7498,2.0546,2.3612,2.6692,2.9783,3.2883,3.5994,3.9111,4.2233,4.5361,4.8493,5.1629,5.4769,5.7912,6.1057,6.4205,6.7355,7.0506,7.3663,7.6819,7.9977,8.3136,8.6296,8.9458,9.262,9.5783,9.8948,10.211,10.528,10.845,11.161,11.478,11.795,12.112,12.429,12.746,13.063,13.38,13.697,14.014,14.331,14.649,14.966,15.284,15.601,15.919,16.236,16.554,16.871,17.189,17.506,17.824,18.141,18.459,18.776,19.094,19.412,19.729,20.047,20.365,20.683,21,21.318,21.636,21.954,22.271,22.589,22.907,23.225,23.543,23.86,24.178,24.496,24.814,25.132,25.45,25.767,26.085,26.403,26.721,27.039,27.357,27.675,27.993,28.31
